"id","matchDate","Country","League","Season","homeTeam","awayTeam","homeXGFT","awayXGFT","homeXG1H","awayXG1H","homeXG2H","awayXG2H"
"87969","28-01-26 21:00","Europe","Champions League","2025/2026","Ath Bilbao","Sporting CP","0.57","1.76","0.51","0.06","0.06","1.70"
"87970","28-01-26 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Bodo/Glimt","2.18","1.88","1.23","0.89","0.95","0.99"
"87971","28-01-26 21:00","Europe","Champions League","2025/2026","Barcelona","FC Copenhagen","3.18","1.05","1.22","0.74","1.96","0.31"
"87972","28-01-26 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","Villarreal","1.93","0.25","1.71","0.10","0.22","0.15"
"87973","28-01-26 21:00","Europe","Champions League","2025/2026","Benfica","Real Madrid","3.14","1.51","2.47","0.35","0.67","1.16"
"87974","28-01-26 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Marseille","1.41","1.03","0.69","0.19","0.72","0.84"
"87975","28-01-26 21:00","Europe","Champions League","2025/2026","Dortmund","Inter","0.84","0.99","0.66","0.43","0.18","0.56"
"87976","28-01-26 21:00","Europe","Champions League","2025/2026","Eintracht Frankfurt","Tottenham","0.87","1.28","0.27","0.36","0.60","0.92"
"87977","28-01-26 21:00","Europe","Champions League","2025/2026","Liverpool","Qarabag","5.92","0.21","1.45","0.15","4.47","0.06"
"87978","28-01-26 21:00","Europe","Champions League","2025/2026","Manchester City","Galatasaray","1.78","0.26","1.21","0.06","0.57","0.20"
"87979","28-01-26 21:00","Europe","Champions League","2025/2026","Monaco","Juventus","1.04","0.17","0.88","0.16","0.16","0.01"
"87980","28-01-26 21:00","Europe","Champions League","2025/2026","Napoli","Chelsea","0.97","2.01","0.76","1.71","0.21","0.30"
"87981","28-01-26 21:00","Europe","Champions League","2025/2026","Pafos","Slavia Prague","1.40","1.73","0.15","1.37","1.25","0.36"
"87982","28-01-26 21:00","Europe","Champions League","2025/2026","PSG","Newcastle","2.52","1.07","1.32","0.28","1.20","0.79"
"87983","28-01-26 21:00","Europe","Champions League","2025/2026","PSV","Bayern Munich","0.69","1.82","0.54","0.67","0.15","1.15"
"87984","28-01-26 21:00","Europe","Champions League","2025/2026","Royale Union SG","Atalanta","1.00","0.83","0.83","0.49","0.17","0.34"
"83887","21-01-26 21:00","Europe","Champions League","2025/2026","Atalanta","Ath Bilbao","2.02","1.74","0.72","0.26","1.30","1.48"
"83888","21-01-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Royale Union SG","3.14","0.88","0.75","0.63","2.39","0.25"
"83889","21-01-26 21:00","Europe","Champions League","2025/2026","Chelsea","Pafos","1.85","0.14","1.07","0.04","0.78","0.10"
"83890","21-01-26 21:00","Europe","Champions League","2025/2026","Juventus","Benfica","1.36","1.44","0.38","0.27","0.98","1.17"
"83891","21-01-26 21:00","Europe","Champions League","2025/2026","Marseille","Liverpool","0.87","1.46","0.03","0.33","0.84","1.13"
"83892","21-01-26 21:00","Europe","Champions League","2025/2026","Newcastle","PSV","2.40","0.34","1.54","0.09","0.86","0.25"
"83893","21-01-26 21:00","Europe","Champions League","2025/2026","Slavia Prague","Barcelona","0.99","1.47","0.54","0.68","0.45","0.79"
"83894","21-01-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Atl. Madrid","0.50","1.43","0.34","0.74","0.16","0.69"
"83895","21-01-26 18:45","Europe","Champions League","2025/2026","Qarabag","Eintracht Frankfurt","1.78","1.21","0.71","0.30","1.07","0.91"
"82056","20-01-26 21:00","Europe","Champions League","2025/2026","FC Copenhagen","Napoli","1.38","1.54","0.00","0.67","1.38","0.87"
"82057","20-01-26 21:00","Europe","Champions League","2025/2026","Inter","Arsenal","1.33","2.12","0.66","1.60","0.67","0.52"
"82058","20-01-26 21:00","Europe","Champions League","2025/2026","Olympiacos Piraeus","Bayer Leverkusen","1.13","2.37","1.01","1.78","0.12","0.59"
"82059","20-01-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Monaco","3.95","1.55","1.54","0.62","2.41","0.93"
"82060","20-01-26 21:00","Europe","Champions League","2025/2026","Sporting CP","PSG","0.83","1.25","0.20","0.70","0.63","0.55"
"82061","20-01-26 21:00","Europe","Champions League","2025/2026","Tottenham","Dortmund","2.23","0.38","1.68","0.00","0.55","0.38"
"82062","20-01-26 21:00","Europe","Champions League","2025/2026","Villarreal","Ajax","1.36","0.91","0.70","0.33","0.66","0.58"
"82063","20-01-26 18:45","Europe","Champions League","2025/2026","Bodo/Glimt","Manchester City","1.59","1.23","0.90","0.64","0.69","0.59"
"82064","20-01-26 16:30","Europe","Champions League","2025/2026","Kairat Almaty","Club Brugge KV","0.28","2.54","0.11","0.81","0.17","1.73"
"75193","10-12-25 21:00","Europe","Champions League","2025/2026","Ath Bilbao","PSG","0.56","2.05","0.13","0.69","0.43","1.36"
"75194","10-12-25 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","Newcastle","1.27","2.07","0.34","0.49","0.93","1.58"
"75195","10-12-25 21:00","Europe","Champions League","2025/2026","Benfica","Napoli","2.22","0.64","1.97","0.27","0.25","0.37"
"75196","10-12-25 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Arsenal","1.06","2.98","0.70","0.97","0.36","2.01"
"75197","10-12-25 21:00","Europe","Champions League","2025/2026","Dortmund","Bodo/Glimt","2.88","1.38","0.71","0.78","2.17","0.60"
"75198","10-12-25 21:00","Europe","Champions League","2025/2026","Juventus","Pafos","2.65","1.19","1.27","0.80","1.38","0.39"
"75199","10-12-25 21:00","Europe","Champions League","2025/2026","Real Madrid","Manchester City","1.50","2.61","0.25","2.02","1.25","0.59"
"75200","10-12-25 18:45","Europe","Champions League","2025/2026","Qarabag","Ajax","1.10","1.60","0.51","0.41","0.59","1.19"
"75201","10-12-25 18:45","Europe","Champions League","2025/2026","Villarreal","FC Copenhagen","1.94","1.51","0.94","0.81","1.00","0.70"
"75177","09-12-25 21:00","Europe","Champions League","2025/2026","Atalanta","Chelsea","1.72","1.37","0.63","0.82","1.09","0.55"
"75178","09-12-25 21:00","Europe","Champions League","2025/2026","Barcelona","Eintracht Frankfurt","1.52","0.76","0.57","0.25","0.95","0.51"
"75179","09-12-25 21:00","Europe","Champions League","2025/2026","Inter","Liverpool","0.43","1.47","0.21","0.12","0.22","1.35"
"75180","09-12-25 21:00","Europe","Champions League","2025/2026","Monaco","Galatasaray","3.37","1.34","0.72","1.18","2.65","0.16"
"75181","09-12-25 21:00","Europe","Champions League","2025/2026","PSV","Atl. Madrid","2.67","2.23","1.20","1.53","1.47","0.70"
"75182","09-12-25 21:00","Europe","Champions League","2025/2026","Royale Union SG","Marseille","0.66","1.45","0.05","1.13","0.61","0.32"
"75183","09-12-25 21:00","Europe","Champions League","2025/2026","Tottenham","Slavia Prague","2.56","1.00","0.55","0.52","2.01","0.48"
"75184","09-12-25 18:45","Europe","Champions League","2025/2026","Bayern Munich","Sporting CP","2.16","0.28","1.14","0.11","1.02","0.17"
"75185","09-12-25 16:30","Europe","Champions League","2025/2026","Kairat Almaty","Olympiacos Piraeus","0.20","2.28","0.00","0.43","0.20","1.85"
"74770","26-11-25 21:00","Europe","Champions League","2025/2026","Arsenal","Bayern Munich","2.72","0.69","0.79","0.33","1.93","0.36"
"74771","26-11-25 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Inter","1.00","1.36","0.29","0.37","0.71","0.99"
"74772","26-11-25 21:00","Europe","Champions League","2025/2026","Eintracht Frankfurt","Atalanta","0.96","2.85","0.75","0.93","0.21","1.92"
"74773","26-11-25 21:00","Europe","Champions League","2025/2026","Liverpool","PSV","2.50","2.17","1.19","0.79","1.31","1.38"
"74774","26-11-25 21:00","Europe","Champions League","2025/2026","Olympiacos Piraeus","Real Madrid","1.69","1.68","0.67","0.97","1.02","0.71"
"74775","26-11-25 21:00","Europe","Champions League","2025/2026","PSG","Tottenham","1.75","2.06","0.15","0.91","1.60","1.15"
"74776","26-11-25 21:00","Europe","Champions League","2025/2026","Sporting CP","Club Brugge KV","1.75","0.81","0.88","0.12","0.87","0.69"
"74777","26-11-25 18:45","Europe","Champions League","2025/2026","FC Copenhagen","Kairat Almaty","3.27","1.88","2.20","0.32","1.07","1.56"
"74778","26-11-25 18:45","Europe","Champions League","2025/2026","Pafos","Monaco","1.18","1.52","0.26","1.20","0.92","0.32"
"74750","25-11-25 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Juventus","1.74","3.44","0.64","0.59","1.10","2.85"
"74751","25-11-25 21:00","Europe","Champions League","2025/2026","Chelsea","Barcelona","1.89","0.80","1.01","0.74","0.88","0.06"
"74752","25-11-25 21:00","Europe","Champions League","2025/2026","Dortmund","Villarreal","3.62","0.80","0.47","0.54","3.15","0.26"
"74753","25-11-25 21:00","Europe","Champions League","2025/2026","Manchester City","Bayer Leverkusen","1.78","0.51","0.51","0.26","1.27","0.25"
"74754","25-11-25 21:00","Europe","Champions League","2025/2026","Marseille","Newcastle","2.00","1.46","0.80","0.76","1.20","0.70"
"74755","25-11-25 21:00","Europe","Champions League","2025/2026","Napoli","Qarabag","3.45","0.48","0.46","0.20","2.99","0.28"
"74756","25-11-25 21:00","Europe","Champions League","2025/2026","Slavia Prague","Ath Bilbao","0.71","1.15","0.30","0.23","0.41","0.92"
"74757","25-11-25 18:45","Europe","Champions League","2025/2026","Ajax","Benfica","0.96","1.16","0.44","0.35","0.52","0.81"
"74758","25-11-25 18:45","Europe","Champions League","2025/2026","Galatasaray","Royale Union SG","1.31","1.66","0.42","0.49","0.89","1.17"
"74323","05-11-25 21:00","Europe","Champions League","2025/2026","Ajax","Galatasaray","0.90","2.55","0.12","0.24","0.78","2.31"
"74324","05-11-25 21:00","Europe","Champions League","2025/2026","Benfica","Bayer Leverkusen","1.43","0.75","0.86","0.31","0.57","0.44"
"74325","05-11-25 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Barcelona","2.14","2.14","0.86","1.19","1.28","0.95"
"74326","05-11-25 21:00","Europe","Champions League","2025/2026","Inter","Kairat Almaty","2.12","0.15","1.29","0.09","0.83","0.06"
"74327","05-11-25 21:00","Europe","Champions League","2025/2026","Manchester City","Dortmund","1.97","1.03","1.42","0.23","0.55","0.80"
"74328","05-11-25 21:00","Europe","Champions League","2025/2026","Marseille","Atalanta","0.87","1.25","0.32","0.92","0.55","0.33"
"74329","05-11-25 21:00","Europe","Champions League","2025/2026","Newcastle","Ath Bilbao","1.20","0.58","0.50","0.16","0.70","0.42"
"74330","05-11-25 18:45","Europe","Champions League","2025/2026","Pafos","Villarreal","0.75","1.78","0.04","1.09","0.71","0.69"
"74331","05-11-25 18:45","Europe","Champions League","2025/2026","Qarabag","Chelsea","1.63","1.26","1.22","0.53","0.41","0.73"
"74305","04-11-25 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Royale Union SG","2.30","1.11","0.38","0.38","1.92","0.73"
"74306","04-11-25 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Monaco","1.67","1.18","0.60","0.90","1.07","0.28"
"74307","04-11-25 21:00","Europe","Champions League","2025/2026","Juventus","Sporting CP","1.53","0.21","1.04","0.13","0.49","0.08"
"74308","04-11-25 21:00","Europe","Champions League","2025/2026","Liverpool","Real Madrid","2.58","0.45","0.71","0.28","1.87","0.17"
"74309","04-11-25 21:00","Europe","Champions League","2025/2026","Olympiacos Piraeus","PSV","0.93","0.35","0.55","0.12","0.38","0.23"
"74310","04-11-25 21:00","Europe","Champions League","2025/2026","PSG","Bayern Munich","2.01","1.45","0.47","1.29","1.54","0.16"
"74311","04-11-25 21:00","Europe","Champions League","2025/2026","Tottenham","FC Copenhagen","3.31","0.33","1.08","0.20","2.23","0.13"
"74312","04-11-25 18:45","Europe","Champions League","2025/2026","Napoli","Eintracht Frankfurt","1.84","0.36","0.81","0.09","1.03","0.27"
"74313","04-11-25 18:45","Europe","Champions League","2025/2026","Slavia Prague","Arsenal","0.46","1.77","0.23","1.18","0.23","0.59"
"67332","22-10-25 21:00","Europe","Champions League","2025/2026","Atalanta","Slavia Prague","2.04","0.73","1.46","0.48","0.58","0.25"
"67333","22-10-25 21:00","Europe","Champions League","2025/2026","Bayern Munich","Club Brugge KV","4.07","0.25","1.74","0.21","2.33","0.04"
"67334","22-10-25 21:00","Europe","Champions League","2025/2026","Chelsea","Ajax","3.65","1.05","2.55","1.05","1.10","0.00"
"67335","22-10-25 21:00","Europe","Champions League","2025/2026","Eintracht Frankfurt","Liverpool","0.23","3.26","0.17","1.70","0.06","1.56"
"67336","22-10-25 21:00","Europe","Champions League","2025/2026","Monaco","Tottenham","2.46","0.88","0.94","0.46","1.52","0.42"
"67337","22-10-25 21:00","Europe","Champions League","2025/2026","Real Madrid","Juventus","2.70","0.59","0.95","0.08","1.75","0.51"
"67338","22-10-25 21:00","Europe","Champions League","2025/2026","Sporting CP","Marseille","0.93","0.44","0.25","0.38","0.68","0.06"
"67339","22-10-25 18:45","Europe","Champions League","2025/2026","Ath Bilbao","Qarabag","3.46","0.53","2.27","0.38","1.19","0.15"
"67340","22-10-25 18:45","Europe","Champions League","2025/2026","Galatasaray","Bodo/Glimt","4.10","1.42","2.28","0.48","1.82","0.94"
"67319","21-10-25 21:00","Europe","Champions League","2025/2026","Arsenal","Atl. Madrid","2.20","0.67","0.52","0.24","1.68","0.43"
"67320","21-10-25 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","PSG","2.47","2.81","1.65","1.47","0.82","1.34"
"67321","21-10-25 21:00","Europe","Champions League","2025/2026","FC Copenhagen","Dortmund","0.82","1.65","0.62","0.41","0.20","1.24"
"67322","21-10-25 21:00","Europe","Champions League","2025/2026","Newcastle","Benfica","2.62","0.33","1.16","0.25","1.46","0.08"
"67323","21-10-25 21:00","Europe","Champions League","2025/2026","PSV","Napoli","2.89","1.16","0.68","0.33","2.21","0.83"
"67324","21-10-25 21:00","Europe","Champions League","2025/2026","Royale Union SG","Inter","0.95","4.54","0.80","1.91","0.15","2.63"
"67325","21-10-25 21:00","Europe","Champions League","2025/2026","Villarreal","Manchester City","1.38","1.51","0.59","1.18","0.79","0.33"
"67326","21-10-25 18:45","Europe","Champions League","2025/2026","Barcelona","Olympiacos Piraeus","2.48","1.00","1.16","0.21","1.32","0.79"
"67327","21-10-25 18:45","Europe","Champions League","2025/2026","Kairat Almaty","Pafos","1.26","1.76","0.52","0.48","0.74","1.28"
"67263","01-10-25 21:00","Europe","Champions League","2025/2026","Arsenal","Olympiacos Piraeus","2.90","0.50","1.69","0.20","1.21","0.30"
"67264","01-10-25 21:00","Europe","Champions League","2025/2026","Barcelona","PSG","1.27","1.67","0.88","0.86","0.39","0.81"
"67265","01-10-25 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","PSV","1.74","0.49","0.96","0.33","0.78","0.16"
"67266","01-10-25 21:00","Europe","Champions League","2025/2026","Dortmund","Ath Bilbao","1.18","0.95","0.54","0.10","0.64","0.85"
"67267","01-10-25 21:00","Europe","Champions League","2025/2026","Monaco","Manchester City","1.45","1.54","0.04","1.05","1.41","0.49"
"67268","01-10-25 21:00","Europe","Champions League","2025/2026","Napoli","Sporting CP","0.87","1.35","0.53","0.02","0.34","1.33"
"67269","01-10-25 21:00","Europe","Champions League","2025/2026","Villarreal","Juventus","1.72","1.59","0.98","0.30","0.74","1.29"
"67270","01-10-25 18:45","Europe","Champions League","2025/2026","Qarabag","FC Copenhagen","1.90","0.98","1.35","0.30","0.55","0.68"
"67271","01-10-25 18:45","Europe","Champions League","2025/2026","Royale Union SG","Newcastle","0.88","2.76","0.53","1.35","0.35","1.41"
"67272","30-09-25 21:00","Europe","Champions League","2025/2026","Atl. Madrid","Eintracht Frankfurt","4.44","0.59","2.67","0.06","1.77","0.53"
"67273","30-09-25 21:00","Europe","Champions League","2025/2026","Bodo/Glimt","Tottenham","2.53","1.46","1.54","0.67","0.99","0.79"
"67274","30-09-25 21:00","Europe","Champions League","2025/2026","Chelsea","Benfica","0.93","0.85","0.26","0.47","0.67","0.38"
"67275","30-09-25 21:00","Europe","Champions League","2025/2026","Galatasaray","Liverpool","1.33","1.81","1.17","1.15","0.16","0.66"
"67276","30-09-25 21:00","Europe","Champions League","2025/2026","Inter","Slavia Prague","3.98","0.11","2.25","0.03","1.73","0.08"
"67277","30-09-25 21:00","Europe","Champions League","2025/2026","Marseille","Ajax","1.14","0.80","0.57","0.01","0.57","0.79"
"67278","30-09-25 21:00","Europe","Champions League","2025/2026","Pafos","Bayern Munich","0.39","4.54","0.14","1.62","0.25","2.92"
"67279","30-09-25 18:45","Europe","Champions League","2025/2026","Atalanta","Club Brugge KV","2.96","0.86","0.55","0.57","2.41","0.29"
"67280","30-09-25 18:45","Europe","Champions League","2025/2026","Kairat Almaty","Real Madrid","0.43","3.54","0.29","1.67","0.14","1.87"
"67281","18-09-25 21:00","Europe","Champions League","2025/2026","Eintracht Frankfurt","Galatasaray","1.20","1.09","0.37","0.52","0.83","0.57"
"67282","18-09-25 21:00","Europe","Champions League","2025/2026","Manchester City","Napoli","2.12","0.17","1.18","0.17","0.94","0.00"
"67283","18-09-25 21:00","Europe","Champions League","2025/2026","Newcastle","Barcelona","1.47","1.31","0.41","0.67","1.06","0.64"
"67284","18-09-25 21:00","Europe","Champions League","2025/2026","Sporting CP","Kairat Almaty","3.81","0.72","2.49","0.31","1.32","0.41"
"67285","18-09-25 18:45","Europe","Champions League","2025/2026","Club Brugge KV","Monaco","3.15","1.45","2.17","0.79","0.98","0.66"
"67286","18-09-25 18:45","Europe","Champions League","2025/2026","FC Copenhagen","Bayer Leverkusen","1.89","1.21","1.26","0.40","0.63","0.81"
"67287","17-09-25 21:00","Europe","Champions League","2025/2026","Ajax","Inter","1.26","1.23","0.60","0.48","0.66","0.75"
"67288","17-09-25 21:00","Europe","Champions League","2025/2026","Bayern Munich","Chelsea","2.07","0.73","1.00","0.67","1.07","0.06"
"67289","17-09-25 21:00","Europe","Champions League","2025/2026","Liverpool","Atl. Madrid","2.71","0.61","1.03","0.14","1.68","0.47"
"67290","17-09-25 21:00","Europe","Champions League","2025/2026","PSG","Atalanta","3.48","0.55","2.45","0.31","1.03","0.24"
"67291","17-09-25 18:45","Europe","Champions League","2025/2026","Olympiacos Piraeus","Pafos","1.52","0.29","0.13","0.22","1.39","0.07"
"67292","17-09-25 18:45","Europe","Champions League","2025/2026","Slavia Prague","Bodo/Glimt","3.98","2.52","1.05","0.53","2.93","1.99"
"67293","16-09-25 21:00","Europe","Champions League","2025/2026","Benfica","Qarabag","1.39","1.52","0.82","1.15","0.57","0.37"
"67294","16-09-25 21:00","Europe","Champions League","2025/2026","Juventus","Dortmund","1.92","1.70","0.63","0.04","1.29","1.66"
"67295","16-09-25 21:00","Europe","Champions League","2025/2026","Real Madrid","Marseille","3.74","0.74","2.39","0.42","1.35","0.32"
"67296","16-09-25 21:00","Europe","Champions League","2025/2026","Tottenham","Villarreal","0.54","0.49","0.45","0.21","0.09","0.28"
"67297","16-09-25 18:45","Europe","Champions League","2025/2026","Ath Bilbao","Arsenal","0.34","1.28","0.23","0.29","0.11","0.99"
"67298","16-09-25 18:45","Europe","Champions League","2025/2026","PSV","Royale Union SG","2.52","3.34","0.85","1.88","1.67","1.46"
